mode,dv,stratifier,n_groups,pooled_coef,weighted_mean_group_coef,reversal_groups_count,reversal_groups_share,sig_reversal_groups_count_p_lt_0p10,sig_reversal_share,weighted_sign_flip_vs_pooled
controlled_yearfe,H1_DV1_Stability,rents_q4,4,-0.26387755072227276,0.514503469004411,3,0.75,1,0.25,1
controlled_yearfe,H1_DV1_Stability,coi_q4,2,-0.26387755072227276,-0.17094354222401714,1,0.5,0,0.0,0
controlled_yearfe,H1_DV1_Stability,gpr_time_q4,2,-0.26387755072227276,-0.10191487512757628,1,0.5,0,0.0,0
controlled_yearfe,H1_DV1_Stability,intensity_q4,2,-0.26387755072227276,-0.13092283216323022,1,0.5,0,0.0,0
controlled_yearfe,H1_DV1_Stability,open_q4,4,-0.26387755072227276,-0.3543733305259873,2,0.5,0,0.0,0
controlled_yearfe,H1_DV1_Stability,income_q4,3,-0.26387755072227276,-0.412589930202043,1,0.3333333333333333,1,0.3333333333333333,0
controlled_yearfe,H1_DV1_Stability,tariff_q4,3,-0.26387755072227276,0.06087125495603429,1,0.3333333333333333,1,0.3333333333333333,1
controlled_yearfe,H1_DV1_Stability,wgi_q4,3,-0.26387755072227276,0.07183605302552087,1,0.3333333333333333,1,0.3333333333333333,1
controlled_yearfe,H1_DV1_Stability,eci_t3,3,-0.26387755072227276,-0.03125662653163566,1,0.3333333333333333,0,0.0,0
controlled_yearfe,H1_DV1_Stability,exposed_group,1,-0.26387755072227276,-0.22428451504920244,0,0.0,0,0.0,0
controlled_yearfe,H1_DV1_Stability,post_group,1,-0.26387755072227276,-0.2795270210013214,0,0.0,0,0.0,0
controlled_yearfe,H1_DV1_Stability,size_q4,2,-0.26387755072227276,-0.2607965404745257,0,0.0,0,0.0,0
controlled_yearfe,H2_DV2_ExportRecovery,eci_t3,3,-0.1145195526599526,-0.026100198054256115,2,0.6666666666666666,0,0.0,0
controlled_yearfe,H2_DV2_ExportRecovery,wgi_q4,4,-0.1145195526599526,0.010894237729809644,2,0.5,1,0.25,1
controlled_yearfe,H2_DV2_ExportRecovery,income_q4,4,-0.1145195526599526,-0.016214154842382145,2,0.5,0,0.0,0
controlled_yearfe,H2_DV2_ExportRecovery,rents_q4,4,-0.1145195526599526,-0.1045636492847118,1,0.25,0,0.0,0
controlled_yearfe,H2_DV2_ExportRecovery,tariff_q4,4,-0.1145195526599526,-0.12801138762967637,1,0.25,0,0.0,0
controlled_yearfe,H2_DV2_ExportRecovery,coi_q4,4,-0.1145195526599526,-0.21323692973395605,0,0.0,0,0.0,0
controlled_yearfe,H2_DV2_ExportRecovery,exposed_group,1,-0.1145195526599526,-0.10557939005923618,0,0.0,0,0.0,0
controlled_yearfe,H2_DV2_ExportRecovery,gpr_time_q4,2,-0.1145195526599526,-0.1022947574406126,0,0.0,0,0.0,0
controlled_yearfe,H2_DV2_ExportRecovery,intensity_q4,2,-0.1145195526599526,-0.17845361801231227,0,0.0,0,0.0,0
controlled_yearfe,H2_DV2_ExportRecovery,open_q4,4,-0.1145195526599526,-0.19530498971403443,0,0.0,0,0.0,0
controlled_yearfe,H2_DV2_ExportRecovery,post_group,1,-0.1145195526599526,-0.10311266478824506,0,0.0,0,0.0,0
controlled_yearfe,H2_DV2_ExportRecovery,size_q4,4,-0.1145195526599526,-0.2038288852318852,0,0.0,0,0.0,0
controlled_yearfe,H3_DV3_Diversification,income_q4,4,-0.013242576157408757,0.04405813913017546,3,0.75,2,0.5,1
controlled_yearfe,H3_DV3_Diversification,size_q4,4,-0.013242576157408757,0.011947332966073731,2,0.5,1,0.25,1
controlled_yearfe,H3_DV3_Diversification,wgi_q4,4,-0.013242576157408757,0.017595979196092796,2,0.5,1,0.25,1
controlled_yearfe,H3_DV3_Diversification,gpr_time_q4,2,-0.013242576157408757,-0.007148481138827025,1,0.5,0,0.0,0
controlled_yearfe,H3_DV3_Diversification,intensity_q4,2,-0.013242576157408757,-0.0017337757294910716,1,0.5,0,0.0,0
controlled_yearfe,H3_DV3_Diversification,rents_q4,4,-0.013242576157408757,0.007292706525968056,2,0.5,0,0.0,1
controlled_yearfe,H3_DV3_Diversification,eci_t3,3,-0.013242576157408757,-0.011653372637722056,1,0.3333333333333333,1,0.3333333333333333,0
controlled_yearfe,H3_DV3_Diversification,open_q4,4,-0.013242576157408757,-0.00766752921248031,1,0.25,1,0.25,0
controlled_yearfe,H3_DV3_Diversification,coi_q4,4,-0.013242576157408757,-0.053446688943011196,0,0.0,0,0.0,0
controlled_yearfe,H3_DV3_Diversification,exposed_group,1,-0.013242576157408757,-0.0037948251094499143,0,0.0,0,0.0,0
controlled_yearfe,H3_DV3_Diversification,post_group,1,-0.013242576157408757,-0.01606647263723138,0,0.0,0,0.0,0
controlled_yearfe,H3_DV3_Diversification,tariff_q4,4,-0.013242576157408757,-0.027836983421700674,0,0.0,0,0.0,0
raw,H1_DV1_Stability,open_q4,4,0.044348800851031406,-0.38048576168170894,3,0.75,1,0.25,1
raw,H1_DV1_Stability,tariff_q4,3,0.044348800851031406,-0.22427465890800588,2,0.6666666666666666,0,0.0,1
raw,H1_DV1_Stability,coi_q4,2,0.044348800851031406,-0.3722216503939372,1,0.5,1,0.5,1
raw,H1_DV1_Stability,size_q4,2,0.044348800851031406,0.10770375821257949,1,0.5,1,0.5,0
raw,H1_DV1_Stability,income_q4,4,0.044348800851031406,-0.20644931381553325,2,0.5,1,0.25,1
raw,H1_DV1_Stability,rents_q4,4,0.044348800851031406,0.35004565577812,2,0.5,0,0.0,0
raw,H1_DV1_Stability,wgi_q4,4,0.044348800851031406,0.18680828076648812,2,0.5,0,0.0,0
raw,H1_DV1_Stability,eci_t3,3,0.044348800851031406,0.2615519049960415,1,0.3333333333333333,1,0.3333333333333333,0
raw,H1_DV1_Stability,gpr_time_q4,3,0.044348800851031406,0.2997408854264889,1,0.3333333333333333,0,0.0,0
raw,H1_DV1_Stability,exposed_group,1,0.044348800851031406,0.021751534906837428,0,0.0,0,0.0,0
raw,H1_DV1_Stability,intensity_q4,2,0.044348800851031406,0.2744231509233649,0,0.0,0,0.0,0
raw,H1_DV1_Stability,post_group,1,0.044348800851031406,0.09687631364238511,0,0.0,0,0.0,0
raw,H2_DV2_ExportRecovery,post_group,1,0.35731708007379265,-0.13031505678154365,1,1.0,1,1.0,1
raw,H2_DV2_ExportRecovery,rents_q4,4,0.35731708007379265,-0.1406220652382314,4,1.0,2,0.5,1
raw,H2_DV2_ExportRecovery,tariff_q4,4,0.35731708007379265,-0.17857466297529417,4,1.0,2,0.5,1
raw,H2_DV2_ExportRecovery,open_q4,4,0.35731708007379265,-0.17402219853284698,4,1.0,1,0.25,1
raw,H2_DV2_ExportRecovery,income_q4,4,0.35731708007379265,-0.11393175178203323,3,0.75,2,0.5,1
raw,H2_DV2_ExportRecovery,wgi_q4,4,0.35731708007379265,-0.10652851966460947,3,0.75,2,0.5,1
raw,H2_DV2_ExportRecovery,coi_q4,4,0.35731708007379265,-0.07190331780734496,3,0.75,1,0.25,1
raw,H2_DV2_ExportRecovery,gpr_time_q4,3,0.35731708007379265,0.4504847555637082,2,0.6666666666666666,1,0.3333333333333333,0
raw,H2_DV2_ExportRecovery,intensity_q4,2,0.35731708007379265,0.85449813455653,1,0.5,1,0.5,0
raw,H2_DV2_ExportRecovery,size_q4,4,0.35731708007379265,0.5655972190335805,2,0.5,2,0.5,0
raw,H2_DV2_ExportRecovery,eci_t3,3,0.35731708007379265,0.45929431251602715,0,0.0,0,0.0,0
raw,H2_DV2_ExportRecovery,exposed_group,1,0.35731708007379265,1.3622550789818504,0,0.0,0,0.0,0
raw,H3_DV3_Diversification,income_q4,4,-0.01557736641902367,0.055963037407621805,3,0.75,2,0.5,1
raw,H3_DV3_Diversification,rents_q4,4,-0.01557736641902367,0.005487908520713458,3,0.75,0,0.0,1
raw,H3_DV3_Diversification,eci_t3,3,-0.01557736641902367,0.006903535527393467,2,0.6666666666666666,1,0.3333333333333333,1
raw,H3_DV3_Diversification,intensity_q4,2,-0.01557736641902367,-0.014105692520265183,1,0.5,0,0.0,0
raw,H3_DV3_Diversification,open_q4,4,-0.01557736641902367,-0.010555723418909757,1,0.25,1,0.25,0
raw,H3_DV3_Diversification,size_q4,4,-0.01557736641902367,-0.00023695728995809254,1,0.25,1,0.25,0
raw,H3_DV3_Diversification,wgi_q4,4,-0.01557736641902367,-0.00797865083093793,1,0.25,1,0.25,0
raw,H3_DV3_Diversification,tariff_q4,4,-0.01557736641902367,-0.018224601426147385,1,0.25,0,0.0,0
raw,H3_DV3_Diversification,coi_q4,4,-0.01557736641902367,-0.025272033208890394,0,0.0,0,0.0,0
raw,H3_DV3_Diversification,exposed_group,1,-0.01557736641902367,-0.02720206342497409,0,0.0,0,0.0,0
raw,H3_DV3_Diversification,gpr_time_q4,3,-0.01557736641902367,-0.013543682238051153,0,0.0,0,0.0,0
raw,H3_DV3_Diversification,post_group,1,-0.01557736641902367,-0.011489469171148963,0,0.0,0,0.0,0
